panel,task,success,goal_ever_reached,max_hold_ticks,final_goal_distance_m,collision_free,max_undesired_force_n,fell,control_steps,stop_reason,student_sha256,harness_commit,harness_dirty
recovery-92602,00677-stop-clear,False,False,0,0.7143,True,0.0,False,350,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00677-stop-corridor,False,False,0,0.8652,False,233.99,False,194,contact,d4b3c0e288c4,000d185,0
recovery-92602,00707-stop-clear,False,False,0,0.5604,True,0.0,False,300,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00707-stop-corridor,False,False,0,0.6098,False,57.66,False,139,contact,d4b3c0e288c4,000d185,0
recovery-92602,00711-stop-clear,False,False,0,2.1844,True,0.0,False,475,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00711-stop-corridor,False,False,0,3.4561,True,0.0,False,475,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00770-stop-clear,False,False,0,1.0293,True,0.0,False,425,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00770-stop-corridor,False,False,0,0.6585,True,0.0,False,425,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00801-stop-clear,False,False,0,1.7553,True,0.0,False,625,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00801-stop-corridor,False,False,0,4.1529,False,52.88,False,303,contact,d4b3c0e288c4,000d185,0
recovery-92602,00908-stop-clear,False,False,0,0.8807,True,0.0,False,350,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00908-stop-corridor,False,False,0,0.4511,True,0.0,False,350,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00976-stop-clear,False,False,0,0.9012,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00976-stop-corridor,False,False,0,1.2319,False,697.39,False,154,contact,d4b3c0e288c4,000d185,0
recovery-92603,00120-stop-clear,False,False,0,2.4135,True,0.0,False,575,deadline,d4b3c0e288c4,000d185,0
recovery-92603,00120-stop-corridor,False,False,0,2.3509,True,0.0,False,575,deadline,d4b3c0e288c4,000d185,0
recovery-92603,00265-stop-clear,False,False,0,0.8124,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92603,00265-stop-corridor,False,False,0,0.7596,False,62.69,False,394,contact,d4b3c0e288c4,000d185,0
recovery-92603,00413-stop-clear,False,False,0,0.463,True,0.0,False,600,deadline,d4b3c0e288c4,000d185,0
recovery-92603,00677-stop-clear,False,False,0,0.4612,True,0.0,False,350,deadline,d4b3c0e288c4,6a094ab,0
recovery-92603,00677-stop-corridor,False,False,0,0.916,False,6.76,False,251,contact,d4b3c0e288c4,caecf41,0
recovery-92603,00707-stop-clear,False,False,0,0.5066,True,0.0,False,300,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00707-stop-corridor,False,True,9,0.4392,False,74.28,False,274,contact,d4b3c0e288c4,caecf41,0
recovery-92603,00711-stop-clear,False,False,0,1.7749,True,0.0,False,475,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00711-stop-corridor,False,False,0,3.1417,False,313.75,False,329,contact,d4b3c0e288c4,caecf41,0
recovery-92603,00770-stop-clear,False,False,0,1.2353,True,0.0,False,425,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00770-stop-corridor,False,False,0,1.1229,True,0.0,False,425,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00801-stop-clear,False,False,0,2.8153,True,0.0,False,625,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00801-stop-corridor,False,False,0,3.5551,True,0.0,False,625,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00908-stop-clear,False,True,0,0.5505,True,0.0,False,350,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00908-stop-corridor,False,True,0,0.3548,False,93.34,False,236,contact,d4b3c0e288c4,caecf41,0
recovery-92603,00976-stop-clear,False,False,0,1.631,True,0.0,False,500,deadline,d4b3c0e288c4,caecf41,0
recovery-92603,00976-stop-corridor,False,False,0,0.7806,False,270.1,False,159,contact,d4b3c0e288c4,caecf41,0
release-92601,00120-stop-clear,False,False,0,0.8015,True,0.0,False,575,deadline,,000d185,0
release-92601,00120-stop-corridor,False,False,0,0.7923,True,0.0,False,575,deadline,,000d185,0
release-92601,00265-stop-clear,True,True,50,0.2316,True,0.0,False,392,goal_hold,,000d185,0
release-92601,00265-stop-corridor,True,True,50,0.231,True,0.0,False,392,goal_hold,,000d185,0
release-92601,00399-stop-clear,True,True,50,0.2277,True,0.0,False,536,goal_hold,,000d185,0
release-92601,00399-stop-corridor,False,False,0,0.6025,False,2509.13,False,1,contact,,000d185,0
release-92601,00413-stop-clear,True,True,50,0.0949,True,0.0,False,508,goal_hold,,000d185,0
release-92601,00413-stop-corridor,True,True,50,0.0867,True,0.0,False,502,goal_hold,,000d185,0
release-92601,00677-stop-clear,False,False,0,0.3005,True,0.0,False,350,deadline,,000d185,0
release-92601,00677-stop-corridor,False,False,0,0.3013,True,0.0,False,350,deadline,,000d185,0
release-92601,00707-stop-clear,True,True,50,0.0984,True,0.0,False,261,goal_hold,,000d185,0
release-92601,00707-stop-corridor,True,True,50,0.0917,True,0.0,False,261,goal_hold,,000d185,0
release-92601,00711-stop-clear,False,False,0,0.4019,True,0.0,False,475,deadline,,000d185,0
release-92601,00711-stop-corridor,False,False,0,0.3948,True,0.0,False,475,deadline,,000d185,0
release-92601,00770-stop-clear,True,True,50,0.0757,True,0.0,False,338,goal_hold,,000d185,0
release-92601,00770-stop-corridor,True,True,50,0.0782,True,0.0,False,337,goal_hold,,000d185,0
release-92601,00781-stop-clear,False,False,0,1.7289,True,0.0,False,450,deadline,,000d185,0
release-92601,00781-stop-corridor,False,False,0,3.7863,False,323.11,False,112,contact,,000d185,0
release-92601,00801-stop-clear,True,True,50,0.0728,True,0.0,False,576,goal_hold,,000d185,0
release-92601,00801-stop-corridor,True,True,50,0.0955,True,0.0,False,576,goal_hold,,000d185,0
release-92601,00908-stop-clear,True,True,50,0.1355,True,0.0,False,202,goal_hold,,000d185,0
release-92601,00908-stop-corridor,True,True,50,0.136,True,0.0,False,202,goal_hold,,000d185,0
release-92601,00976-stop-clear,True,True,50,0.0519,True,0.0,False,383,goal_hold,,000d185,0
release-92601,00976-stop-corridor,True,True,50,0.0499,True,0.0,False,383,goal_hold,,000d185,0
teacher8192-92601,00120-stop-clear,True,True,50,0.1472,True,0.0,False,519,goal_hold,,000d185,0
teacher8192-92601,00120-stop-corridor,True,True,50,0.1308,True,0.0,False,519,goal_hold,,000d185,0
teacher8192-92601,00265-stop-clear,True,True,50,0.142,True,0.0,False,408,goal_hold,,000d185,0
teacher8192-92601,00265-stop-corridor,True,True,50,0.1371,True,0.0,False,408,goal_hold,,000d185,0
teacher8192-92601,00399-stop-clear,True,True,50,0.1211,True,0.0,False,495,goal_hold,,000d185,0
teacher8192-92601,00399-stop-corridor,False,False,0,0.6029,False,2558.54,False,1,contact,,000d185,0
teacher8192-92601,00413-stop-clear,True,True,50,0.0417,True,0.0,False,502,goal_hold,,000d185,0
teacher8192-92601,00413-stop-corridor,True,True,50,0.0135,True,0.0,False,462,goal_hold,,000d185,0
teacher8192-92601,00677-stop-clear,True,True,50,0.14,True,0.0,False,297,goal_hold,,000d185,0
teacher8192-92601,00677-stop-corridor,True,True,50,0.1322,True,0.0,False,297,goal_hold,,000d185,0
teacher8192-92601,00707-stop-clear,False,True,38,0.174,True,0.0,False,300,deadline,,000d185,0
teacher8192-92601,00707-stop-corridor,False,True,9,0.2291,True,0.0,False,300,deadline,,000d185,0
teacher8192-92601,00711-stop-clear,True,True,50,0.1018,True,0.0,False,407,goal_hold,,000d185,0
teacher8192-92601,00711-stop-corridor,True,True,50,0.0815,True,0.0,False,408,goal_hold,,000d185,0
teacher8192-92601,00770-stop-clear,True,True,50,0.0723,True,0.0,False,338,goal_hold,,000d185,0
teacher8192-92601,00770-stop-corridor,True,True,50,0.0736,True,0.0,False,338,goal_hold,,000d185,0
teacher8192-92601,00781-stop-clear,False,False,0,0.9654,True,0.0,False,450,deadline,,000d185,0
teacher8192-92601,00781-stop-corridor,False,False,0,3.6877,False,1174.85,False,110,contact,,000d185,0
teacher8192-92601,00801-stop-clear,True,True,50,0.1775,True,0.0,False,575,goal_hold,,000d185,0
teacher8192-92601,00801-stop-corridor,True,True,50,0.1556,True,0.0,False,576,goal_hold,,000d185,0
teacher8192-92601,00908-stop-clear,True,True,50,0.1341,True,0.0,False,205,goal_hold,,000d185,0
teacher8192-92601,00908-stop-corridor,True,True,50,0.1355,True,0.0,False,205,goal_hold,,000d185,0
teacher8192-92601,00976-stop-clear,True,True,50,0.1097,True,0.0,False,394,goal_hold,,000d185,0
teacher8192-92601,00976-stop-corridor,True,True,50,0.1167,True,0.0,False,393,goal_hold,,000d185,0
teacher8192-92602,00120-stop-clear,True,True,50,0.2102,True,0.0,False,517,goal_hold,,000d185,0
teacher8192-92602,00120-stop-corridor,True,True,50,0.2149,True,0.0,False,489,goal_hold,,000d185,0
teacher8192-92602,00265-stop-clear,True,True,50,0.0769,True,0.0,False,374,goal_hold,,000d185,0
teacher8192-92602,00265-stop-corridor,True,True,50,0.0823,True,0.0,False,373,goal_hold,,000d185,0
teacher8192-92602,00399-stop-clear,True,True,50,0.2231,True,0.0,False,474,goal_hold,,000d185,0
teacher8192-92602,00399-stop-corridor,False,False,0,0.6026,False,2306.32,False,1,contact,,000d185,0
teacher8192-92602,00413-stop-clear,True,True,50,0.0914,True,0.0,False,392,goal_hold,,000d185,0
teacher8192-92602,00413-stop-corridor,True,True,50,0.0968,True,0.0,False,392,goal_hold,,000d185,0
teacher8192-92602,00677-stop-clear,True,True,50,0.1608,True,0.0,False,268,goal_hold,,000d185,0
teacher8192-92602,00677-stop-corridor,True,True,50,0.1648,True,0.0,False,268,goal_hold,,000d185,0
teacher8192-92602,00707-stop-clear,True,True,50,0.0641,True,0.0,False,275,goal_hold,,000d185,0
teacher8192-92602,00707-stop-corridor,True,True,50,0.0635,True,0.0,False,275,goal_hold,,000d185,0
teacher8192-92602,00711-stop-clear,True,True,50,0.2041,True,0.0,False,406,goal_hold,,000d185,0
teacher8192-92602,00711-stop-corridor,True,True,50,0.2053,True,0.0,False,406,goal_hold,,000d185,0
teacher8192-92602,00770-stop-clear,True,True,50,0.1104,True,0.0,False,330,goal_hold,,000d185,0
teacher8192-92602,00770-stop-corridor,True,True,50,0.118,True,0.0,False,330,goal_hold,,000d185,0
teacher8192-92602,00781-stop-clear,False,False,0,1.3681,True,0.0,False,450,deadline,,000d185,0
teacher8192-92602,00781-stop-corridor,False,False,0,3.734,False,271.71,False,112,contact,,000d185,0
